property;statistic;value
upperLegLeft;quartileDistance;0,00379834
upperLegRight;lowerWhisker;0,394083
upperLegRight;lowerQuartile;0,396951
upperLegRight;median;0,398339
upperLegRight;upperQuartile;0,399601
upperLegRight;upperWhisker;0,403261
upperLegRight;minValue;0,383679
upperLegRight;maxValue;0,404655
upperLegRight;amountDataPoints;686
upperLegRight;amountOutliers;96
upperLegRight;sum;272,419
upperLegRight;mean;0,397112
upperLegRight;quartileDistance;0,00265032
lowerLegRight;lowerWhisker;0,36093
lowerLegRight;lowerQuartile;0,363411
lowerLegRight;median;0,364372
lowerLegRight;upperQuartile;0,365141
lowerLegRight;upperWhisker;0,367578
lowerLegRight;minValue;0,359257
lowerLegRight;maxValue;0,368985
lowerLegRight;amountDataPoints;686
lowerLegRight;amountOutliers;17
lowerLegRight;sum;249,916
lowerLegRight;mean;0,364309
lowerLegRight;quartileDistance;0,00172967
