property;statistic;value
upperLegLeft;mean;0.550658
upperLegLeft;quartileDistance;0.00579709
upperLegRight;lowerWhisker;0.540071
upperLegRight;lowerQuartile;0.548852
upperLegRight;median;0.55279
upperLegRight;upperQuartile;0.556414
upperLegRight;upperWhisker;0.561986
upperLegRight;minValue;0.540071
upperLegRight;maxValue;0.561986
upperLegRight;amountDataPoints;450
upperLegRight;amountOutliers;0
upperLegRight;sum;248.577
upperLegRight;mean;0.552394
upperLegRight;quartileDistance;0.00756234
lowerLegRight;lowerWhisker;0.526386
lowerLegRight;lowerQuartile;0.532368
lowerLegRight;median;0.53482
lowerLegRight;upperQuartile;0.537737
lowerLegRight;upperWhisker;0.545229
lowerLegRight;minValue;0.522147
lowerLegRight;maxValue;0.545229
lowerLegRight;amountDataPoints;450
lowerLegRight;amountOutliers;1
lowerLegRight;sum;240.732
lowerLegRight;mean;0.534961
lowerLegRight;quartileDistance;0.00536895
