property;statistic;value
upperLegLeft;mean;0,401009
upperLegLeft;quartileDistance;0,0303496
upperLegRight;lowerWhisker;0,354918
upperLegRight;lowerQuartile;0,36876
upperLegRight;median;0,375151
upperLegRight;upperQuartile;0,393347
upperLegRight;upperWhisker;0,428929
upperLegRight;minValue;0,354918
upperLegRight;maxValue;0,432911
upperLegRight;amountDataPoints;227
upperLegRight;amountOutliers;5
upperLegRight;sum;86,7733
upperLegRight;mean;0,382261
upperLegRight;quartileDistance;0,0245871
lowerLegRight;lowerWhisker;0,31275
lowerLegRight;lowerQuartile;0,375393
lowerLegRight;median;0,405344
lowerLegRight;upperQuartile;0,421626
lowerLegRight;upperWhisker;0,488122
lowerLegRight;minValue;0,287445
lowerLegRight;maxValue;0,488122
lowerLegRight;amountDataPoints;227
lowerLegRight;amountOutliers;4
lowerLegRight;sum;90,764
lowerLegRight;mean;0,399842
lowerLegRight;quartileDistance;0,0462324
