property,statistic,value
upperLegLeft,lowerWhisker,0.463864
upperLegLeft,upperWhisker,0.490358
upperLegRight,amountDataPoints,183
upperLegRight,amountOutliers,14
upperLegRight,minValue,0.444358
upperLegRight,maxValue,0.473174
upperLegRight,sum,83.5959
upperLegRight,median,0.455631
upperLegRight,mean,0.456808
upperLegRight,lowerQuartile,0.45426
upperLegRight,upperQuartile,0.458484
upperLegRight,quartileDistance,0.00422332
upperLegRight,lowerWhisker,0.452907
upperLegRight,upperWhisker,0.446167
lowerLegRight,amountDataPoints,183
lowerLegRight,amountOutliers,26
lowerLegRight,minValue,0.467096
lowerLegRight,maxValue,0.547292
lowerLegRight,sum,90.8965
lowerLegRight,median,0.494499
lowerLegRight,mean,0.496702
lowerLegRight,lowerQuartile,0.493624
lowerLegRight,upperQuartile,0.497521
lowerLegRight,quartileDistance,0.00389704
lowerLegRight,lowerWhisker,0.492269
lowerLegRight,upperWhisker,0.485844
