property;statistic;value
upperLegLeft;mean;0,457152
upperLegLeft;quartileDistance;0,0296105
upperLegRight;lowerWhisker;0,393412
upperLegRight;lowerQuartile;0,423654
upperLegRight;median;0,440188
upperLegRight;upperQuartile;0,451254
upperLegRight;upperWhisker;0,491468
upperLegRight;minValue;0,393412
upperLegRight;maxValue;0,497271
upperLegRight;amountDataPoints;326
upperLegRight;amountOutliers;6
upperLegRight;sum;142,907
upperLegRight;mean;0,438364
upperLegRight;quartileDistance;0,0275997
lowerLegRight;lowerWhisker;0,345116
lowerLegRight;lowerQuartile;0,409478
lowerLegRight;median;0,429014
lowerLegRight;upperQuartile;0,455996
lowerLegRight;upperWhisker;0,480262
lowerLegRight;minValue;0,285706
lowerLegRight;maxValue;0,480262
lowerLegRight;amountDataPoints;326
lowerLegRight;amountOutliers;3
lowerLegRight;sum;139,667
lowerLegRight;mean;0,428426
lowerLegRight;quartileDistance;0,0465175
