property;statistic;value
upperLegLeft;mean;0.492598
upperLegLeft;quartileDistance;0.00434732
upperLegRight;lowerWhisker;0.465111
upperLegRight;lowerQuartile;0.476721
upperLegRight;median;0.482519
upperLegRight;upperQuartile;0.484676
upperLegRight;upperWhisker;0.492502
upperLegRight;minValue;0.454174
upperLegRight;maxValue;0.492502
upperLegRight;amountDataPoints;1441
upperLegRight;amountOutliers;11
upperLegRight;sum;693.48
upperLegRight;mean;0.481249
upperLegRight;quartileDistance;0.00795531
lowerLegRight;lowerWhisker;0.437477
lowerLegRight;lowerQuartile;0.463997
lowerLegRight;median;0.478468
lowerLegRight;upperQuartile;0.481812
lowerLegRight;upperWhisker;0.501057
lowerLegRight;minValue;0.427192
lowerLegRight;maxValue;0.58432
lowerLegRight;amountDataPoints;1441
lowerLegRight;amountOutliers;69
lowerLegRight;sum;679.556
lowerLegRight;mean;0.471587
lowerLegRight;quartileDistance;0.017815
