property;statistic;value
forearmLeft;lowerWhisker;0,224818
forearmLeft;lowerQuartile;0,256143
forearmLeft;median;0,278039
forearmLeft;upperQuartile;0,294638
forearmLeft;upperWhisker;0,314115
forearmLeft;minValue;0,224818
forearmLeft;maxValue;0,314115
forearmLeft;amountDataPoints;826
forearmLeft;amountOutliers;0
forearmLeft;sum;227,271
forearmLeft;mean;0,275147
forearmLeft;quartileDistance;0,0384949
upperarmLeft;lowerWhisker;0,228652
upperarmLeft;lowerQuartile;0,243374
upperarmLeft;median;0,268021
upperarmLeft;upperQuartile;0,272642
upperarmLeft;upperWhisker;0,296733
upperarmLeft;minValue;0,228652
upperarmLeft;maxValue;0,296733
upperarmLeft;amountDataPoints;826
upperarmLeft;amountOutliers;0
upperarmLeft;sum;215,348
upperarmLeft;mean;0,260712
upperarmLeft;quartileDistance;0,0292681
shoulderHalfLeft;lowerWhisker;0,171186
shoulderHalfLeft;lowerQuartile;0,179317
shoulderHalfLeft;median;0,181618
shoulderHalfLeft;upperQuartile;0,184799
shoulderHalfLeft;upperWhisker;0,191472
shoulderHalfLeft;minValue;0,171186
shoulderHalfLeft;maxValue;0,194326
shoulderHalfLeft;amountDataPoints;826
shoulderHalfLeft;amountOutliers;2
shoulderHalfLeft;sum;150,314
shoulderHalfLeft;mean;0,181978
shoulderHalfLeft;quartileDistance;0,00548188
neck;lowerWhisker;0,0763066
neck;lowerQuartile;0,0772073
neck;median;0,0774867
neck;upperQuartile;0,0778293
neck;upperWhisker;0,0787047
neck;minValue;0,075977
neck;maxValue;0,0792982
neck;amountDataPoints;826
neck;amountOutliers;23
neck;sum;64,0018
neck;mean;0,077484
neck;quartileDistance;0,000622004
shoulderHalfRight;lowerWhisker;0,173405
shoulderHalfRight;lowerQuartile;0,180553
shoulderHalfRight;median;0,183014
shoulderHalfRight;upperQuartile;0,18536
shoulderHalfRight;upperWhisker;0,192298
shoulderHalfRight;minValue;0,168559
shoulderHalfRight;maxValue;0,197019
shoulderHalfRight;amountDataPoints;826
shoulderHalfRight;amountOutliers;37
shoulderHalfRight;sum;151,327
shoulderHalfRight;mean;0,183205
shoulderHalfRight;quartileDistance;0,00480756
upperarmRight;lowerWhisker;0,243921
upperarmRight;lowerQuartile;0,263529
upperarmRight;median;0,272664
upperarmRight;upperQuartile;0,27858
upperarmRight;upperWhisker;0,29611
upperarmRight;minValue;0,229107
upperarmRight;maxValue;0,29611
upperarmRight;amountDataPoints;826
upperarmRight;amountOutliers;37
upperarmRight;sum;222,827
upperarmRight;mean;0,269766
upperarmRight;quartileDistance;0,0150502
forearmRight;lowerWhisker;0,226144
forearmRight;lowerQuartile;0,252038
forearmRight;median;0,267267
forearmRight;upperQuartile;0,27997
forearmRight;upperWhisker;0,316419
forearmRight;minValue;0,226144
forearmRight;maxValue;0,316419
forearmRight;amountDataPoints;826
forearmRight;amountOutliers;0
forearmRight;sum;219,42
forearmRight;mean;0,265642
forearmRight;quartileDistance;0,0279328
shoulder;lowerWhisker;0,329101
shoulder;lowerQuartile;0,342176
shoulder;median;0,347155
shoulder;upperQuartile;0,352306
shoulder;upperWhisker;0,367224
shoulder;minValue;0,329101
shoulder;maxValue;0,374531
shoulder;amountDataPoints;826
shoulder;amountOutliers;22
shoulder;sum;287,159
shoulder;mean;0,34765
shoulder;quartileDistance;0,0101305
upperBody;lowerWhisker;0,236097
upperBody;lowerQuartile;0,239202
upperBody;median;0,240131
upperBody;upperQuartile;0,24128
upperBody;upperWhisker;0,244314
upperBody;minValue;0,23564
upperBody;maxValue;0,248266
upperBody;amountDataPoints;826
upperBody;amountOutliers;26
upperBody;sum;198,379
upperBody;mean;0,240168
upperBody;quartileDistance;0,00207789
hip;lowerWhisker;0,152075
hip;lowerQuartile;0,154781
hip;median;0,156107
hip;upperQuartile;0,156771
hip;upperWhisker;0,159508
hip;minValue;0,148061
hip;maxValue;0,162051
hip;amountDataPoints;826
hip;amountOutliers;46
hip;sum;128,611
hip;mean;0,155703
hip;quartileDistance;0,0019895
lowerBody;lowerWhisker;0,326593
lowerBody;lowerQuartile;0,330849
lowerBody;median;0,331951
lowerBody;upperQuartile;0,333707
lowerBody;upperWhisker;0,336304
lowerBody;minValue;0,325749
lowerBody;maxValue;0,348085
lowerBody;amountDataPoints;826
lowerBody;amountOutliers;30
lowerBody;sum;274,35
lowerBody;mean;0,332143
lowerBody;quartileDistance;0,00285742
body;lowerWhisker;0,562737
body;lowerQuartile;0,569965
body;median;0,572027
body;upperQuartile;0,574936
body;upperWhisker;0,582014
body;minValue;0,561346
body;maxValue;0,596317
body;amountDataPoints;826
body;amountOutliers;28
body;sum;472,686
body;mean;0,57226
body;quartileDistance;0,00497162
lowerLegLeft;lowerWhisker;0,34379
lowerLegLeft;lowerQuartile;0,363499
lowerLegLeft;median;0,367763
lowerLegLeft;upperQuartile;0,377097
lowerLegLeft;upperWhisker;0,391659
lowerLegLeft;minValue;0,342543
lowerLegLeft;maxValue;0,429182
lowerLegLeft;amountDataPoints;826
lowerLegLeft;amountOutliers;36
lowerLegLeft;sum;306,031
lowerLegLeft;mean;0,370498
lowerLegLeft;quartileDistance;0,0135976
upperLegLeft;lowerWhisker;0,434061
upperLegLeft;lowerQuartile;0,453659
upperLegLeft;median;0,46255
