property;value
neck;0.0815662
shoulderHalfRight;0.180261
upperarmRight;0.277308
forearmRight;0.333886
shoulder;0.25674
upperBody;0.254813
hip;0.108772
lowerBody;0.35587
body;0.61064
lowerLegLeft;0.40617
upperLegLeft;0.469924
upperLegRight;0.462769
lowerLegRight;0.555329
forearmLeft;0.266641
upperarmLeft;0.306875
shoulderHalfLeft;0.125362
neck;0.0814874
shoulderHalfRight;0.187365
upperarmRight;0.275513
forearmRight;0.333508
shoulder;0.256453
upperBody;0.254632
hip;0.109031
lowerBody;0.355776
body;0.610364
lowerLegLeft;0.365851
upperLegLeft;0.474572
upperLegRight;0.467166
lowerLegRight;0.501057
forearmLeft;0.266365
upperarmLeft;0.308911
shoulderHalfLeft;0.126293
neck;0.081558
shoulderHalfRight;0.186634
upperarmRight;0.274084
forearmRight;0.332721
shoulder;0.257393
upperBody;0.254832
hip;0.110286
lowerBody;0.356027
body;0.610814
lowerLegLeft;0.349999
upperLegLeft;0.476705
upperLegRight;0.472234
lowerLegRight;0.471089
forearmLeft;0.263879
upperarmLeft;0.310871
shoulderHalfLeft;0.127127
neck;0.0816279
shoulderHalfRight;0.18656
upperarmRight;0.273581
forearmRight;0.3343
shoulder;0.258161
upperBody;0.255042
hip;0.11091
lowerBody;0.356299
body;0.611297
lowerLegLeft;0.34673
upperLegLeft;0.476227
upperLegRight;0.477074
lowerLegRight;0.451679
forearmLeft;0.285959
upperarmLeft;0.316291
shoulderHalfLeft;0.134861
neck;0.0831452
shoulderHalfRight;0.192533
upperarmRight;0.265232
forearmRight;0.314217
shoulder;0.255386
upperBody;0.25939
hip;0.114972
lowerBody;0.361563
body;0.620916
lowerLegLeft;0.341233
upperLegLeft;0.499593
upperLegRight;0.482755
lowerLegRight;0.466514
forearmLeft;0.286436
upperarmLeft;0.316628
shoulderHalfLeft;0.135244
neck;0.0831762
shoulderHalfRight;0.192498
upperarmRight;0.265028
forearmRight;0.313434
shoulder;0.255434
upperBody;0.25946
hip;0.114943
lowerBody;0.36159
body;0.621014
lowerLegLeft;0.341432
upperLegLeft;0.499192
upperLegRight;0.482632
lowerLegRight;0.466417
forearmLeft;0.286627
upperarmLeft;0.315894
shoulderHalfLeft;0.135526
neck;0.0832075
shoulderHalfRight;0.192601
upperarmRight;0.264821
forearmRight;0.312474
shoulder;0.255421
upperBody;0.259521
hip;0.114963
lowerBody;0.361624
body;0.621111
lowerLegLeft;0.339077
upperLegLeft;0.501317
upperLegRight;0.482573
lowerLegRight;0.466575
forearmLeft;0.28698
upperarmLeft;0.315669
shoulderHalfLeft;0.135811
neck;0.0832446
shoulderHalfRight;0.19269
upperarmRight;0.264661
forearmRight;0.313196
shoulder;0.255395
upperBody;0.259598
hip;0.114951
lowerBody;0.36172
body;0.621285
lowerLegLeft;0.337396
upperLegLeft;0.501546
upperLegRight;0.482516
lowerLegRight;0.465414
forearmLeft;0.287223
upperarmLeft;0.315789
shoulderHalfLeft;0.135939
neck;0.0832173
shoulderHalfRight;0.192604
upperarmRight;0.264548
forearmRight;0.313596
shoulder;0.255341
upperBody;0.25953
hip;0.114936
lowerBody;0.361689
body;0.621186
lowerLegLeft;0.337649
upperLegLeft;0.501312
upperLegRight;0.482519
lowerLegRight;0.465395
forearmLeft;0.287636
upperarmLeft;0.315313
shoulderHalfLeft;0.135574
neck;0.0832169
shoulderHalfRight;0.192615
upperarmRight;0.264461
forearmRight;0.313717
shoulder;0.25501
upperBody;0.259523
hip;0.114927
lowerBody;0.361697
body;0.621187
lowerLegLeft;0.339536
upperLegLeft;0.499396
upperLegRight;0.482689
lowerLegRight;0.465173
forearmLeft;0.287756
upperarmLeft;0.31557
shoulderHalfLeft;0.135611
neck;0.0831814
shoulderHalfRight;0.192531
upperarmRight;0.264258
forearmRight;0.314043
shoulder;0.254997
upperBody;0.259429
hip;0.11492
lowerBody;0.361638
body;0.621034
lowerLegLeft;0.339664
upperLegLeft;0.499342
upperLegRight;0.482756
lowerLegRight;0.465139
forearmLeft;0.285626
upperarmLeft;0.315756
shoulderHalfLeft;0.136659
neck;0.0831027
shoulderHalfRight;0.189987
upperarmRight;0.26413
forearmRight;0.314145
shoulder;0.255107
upperBody;0.259218
hip;0.114928
lowerBody;0.36145
body;0.62063
lowerLegLeft;0.340047
upperLegLeft;0.499009
upperLegRight;0.482269
lowerLegRight;0.465455
forearmLeft;0.286478
upperarmLeft;0.315557
shoulderHalfLeft;0.136548
neck;0.0830772
shoulderHalfRight;0.19007
upperarmRight;0.263992
forearmRight;0.314229
shoulder;0.255155
upperBody;0.259176
hip;0.114941
lowerBody;0.361433
body;0.62057
lowerLegLeft;0.34023
upperLegLeft;0.498686
upperLegRight;0.482221
lowerLegRight;0.465374
forearmLeft;0.286923
upperarmLeft;0.315281
shoulderHalfLeft;0.136428
neck;0.0830857
shoulderHalfRight;0.190185
upperarmRight;0.26398
forearmRight;0.314036
shoulder;0.254937
upperBody;0.259186
hip;0.114934
lowerBody;0.361419
body;0.620569
lowerLegLeft;0.339228
upperLegLeft;0.498543
upperLegRight;0.48221
lowerLegRight;0.464273
forearmLeft;0.287064
upperarmLeft;0.314916
shoulderHalfLeft;0.136587
neck;0.0830365
shoulderHalfRight;0.188479
upperarmRight;0.263861
forearmRight;0.314107
shoulder;0.254901
upperBody;0.259014
hip;0.114891
lowerBody;0.361206
body;0.620178
lowerLegLeft;0.339071
upperLegLeft;0.498388
upperLegRight;0.482074
lowerLegRight;0.464088
forearmLeft;0.287504
upperarmLeft;0.314538
shoulderHalfLeft;0.136524
neck;0.083033
shoulderHalfRight;0.188804
upperarmRight;0.263696
forearmRight;0.31417
shoulder;0.254984
upperBody;0.259005
hip;0.114881
lowerBody;0.36119
body;0.620156
lowerLegLeft;0.338176
upperLegLeft;0.499222
upperLegRight;0.482131
lowerLegRight;0.464106
forearmLeft;0.288031
upperarmLeft;0.313845
shoulderHalfLeft;0.136791
neck;0.0829974
shoulderHalfRight;0.187723
upperarmRight;0.263384
forearmRight;0.314082
shoulder;0.255273
upperBody;0.258898
hip;0.114861
lowerBody;0.361063
body;0.61992
lowerLegLeft;0.337218
upperLegLeft;0.500049
upperLegRight;0.482587
lowerLegRight;0.463674
forearmLeft;0.288137
upperarmLeft;0.313745
shoulderHalfLeft;0.136725
neck;0.0829803
shoulderHalfRight;0.187945
upperarmRight;0.263309
forearmRight;0.313999
shoulder;0.255448
upperBody;0.258867
hip;0.114852
lowerBody;0.361045
body;0.619872
lowerLegLeft;0.338003
upperLegLeft;0.499378
upperLegRight;0.481953
lowerLegRight;0.464154
forearmLeft;0.288383
upperarmLeft;0.314425
shoulderHalfLeft;0.13707
neck;0.0829759
shoulderHalfRight;0.187283
upperarmRight;0.263185
forearmRight;0.313673
shoulder;0.255301
upperBody;0.258845
hip;0.114831
lowerBody;0.36101
body;0.619812
lowerLegLeft;0.338563
upperLegLeft;0.498996
upperLegRight;0.482189
lowerLegRight;0.464041
forearmLeft;0.288319
upperarmLeft;0.314832
shoulderHalfLeft;0.137316
neck;0.08294
shoulderHalfRight;0.186521
upperarmRight;0.263143
forearmRight;0.31333
shoulder;0.255321
upperBody;0.258741
hip;0.114816
lowerBody;0.360915
body;0.619611
lowerLegLeft;0.338921
upperLegLeft;0.498718
upperLegRight;0.482173
lowerLegRight;0.4641
forearmLeft;0.288258
upperarmLeft;0.314883
shoulderHalfLeft;0.137236
neck;0.0829287
shoulderHalfRight;0.18612
upperarmRight;0.263003
forearmRight;0.31301
shoulder;0.255447
upperBody;0.258704
hip;0.11476
lowerBody;0.360858
body;0.619516
lowerLegLeft;0.34168
upperLegLeft;0.498976
upperLegRight;0.482222
lowerLegRight;0.466782
forearmLeft;0.288755
upperarmLeft;0.314906
shoulderHalfLeft;0.137288
neck;0.0830128
shoulderHalfRight;0.187144
upperarmRight;0.262901
forearmRight;0.31296
shoulder;0.255447
upperBody;0.258885
hip;0.114744
lowerBody;0.360936
body;0.619782
lowerLegLeft;0.341758
upperLegLeft;0.498568
upperLegRight;0.482494
lowerLegRight;0.46628
forearmLeft;0.288452
upperarmLeft;0.314302
shoulderHalfLeft;0.137006
neck;0.0830068
shoulderHalfRight;0.187776
upperarmRight;0.262689
forearmRight;0.313218
shoulder;0.255925
upperBody;0.258886
hip;0.114807
lowerBody;0.360931
body;0.619781
lowerLegLeft;0.34356
upperLegLeft;0.498599
upperLegRight;0.482549
lowerLegRight;0.467807
forearmLeft;0.288551
upperarmLeft;0.314927
shoulderHalfLeft;0.137273
neck;0.0829616
shoulderHalfRight;0.185608
upperarmRight;0.262746
forearmRight;0.31304
shoulder;0.255945
upperBody;0.258789
hip;0.114829
lowerBody;0.360874
body;0.619625
lowerLegLeft;0.343128
upperLegLeft;0.498783
upperLegRight;0.482787
lowerLegRight;0.46745
forearmLeft;0.288544
upperarmLeft;0.315446
shoulderHalfLeft;0.137167
neck;0.0829488
shoulderHalfRight;0.185561
upperarmRight;0.262892
forearmRight;0.312979
shoulder;0.255804
upperBody;0.258764
hip;0.114806
lowerBody;0.360848
body;0.619575
lowerLegLeft;0.342282
upperLegLeft;0.499022
upperLegRight;0.482805
lowerLegRight;0.466801
forearmLeft;0.288571
upperarmLeft;0.315207
shoulderHalfLeft;0.13682
neck;0.0829455
shoulderHalfRight;0.185188
upperarmRight;0.263167
forearmRight;0.312898
shoulder;0.255656
upperBody;0.258755
hip;0.114751
lowerBody;0.360834
body;0.619552
lowerLegLeft;0.341347
upperLegLeft;0.498889
upperLegRight;0.482861
lowerLegRight;0.465701
forearmLeft;0.288637
upperarmLeft;0.315775
shoulderHalfLeft;0.136958
neck;0.0829552
shoulderHalfRight;0.185308
upperarmRight;0.263211
forearmRight;0.312778
shoulder;0.255548
upperBody;0.258785
hip;0.114752
lowerBody;0.360851
body;0.619601
lowerLegLeft;0.341048
upperLegLeft;0.49906
upperLegRight;0.482901
lowerLegRight;0.465511
forearmLeft;0.288668
upperarmLeft;0.316205
shoulderHalfLeft;0.137069
neck;0.0829531
shoulderHalfRight;0.185239
upperarmRight;0.263475
forearmRight;0.312581
shoulder;0.25541
upperBody;0.258787
hip;0.114743
lowerBody;0.36085
body;0.619602
lowerLegLeft;0.340974
upperLegLeft;0.499004
upperLegRight;0.483032
lowerLegRight;0.465314
forearmLeft;0.289217
upperarmLeft;0.315951
shoulderHalfLeft;0.136951
neck;0.0829296
shoulderHalfRight;0.185128
upperarmRight;0.263516
forearmRight;0.312574
shoulder;0.255278
upperBody;0.258725
hip;0.11473
lowerBody;0.360812
body;0.619503
lowerLegLeft;0.341052
upperLegLeft;0.498873
upperLegRight;0.483128
lowerLegRight;0.465218
forearmLeft;0.289638
upperarmLeft;0.316426
shoulderHalfLeft;0.13704
neck;0.0829323
shoulderHalfRight;0.185345
upperarmRight;0.263685
forearmRight;0.312534
shoulder;0.25548
upperBody;0.258733
hip;0.114649
lowerBody;0.36081
body;0.619508
lowerLegLeft;0.341407
upperLegLeft;0.498393
upperLegRight;0.48322
lowerLegRight;0.465117
forearmLeft;0.289238
upperarmLeft;0.316606
shoulderHalfLeft;0.137381
neck;0.0828685
shoulderHalfRight;0.183961
upperarmRight;0.263667
forearmRight;0.312585
shoulder;0.255419
upperBody;0.258585
hip;0.114622
lowerBody;0.360735
body;0.619279
lowerLegLeft;0.341625
upperLegLeft;0.498221
upperLegRight;0.483752
lowerLegRight;0.464769
forearmLeft;0.28914
upperarmLeft;0.316321
shoulderHalfLeft;0.136942
neck;0.0828943
shoulderHalfRight;0.184227
upperarmRight;0.263877
forearmRight;0.312504
shoulder;0.254934
upperBody;0.258638
hip;0.114596
lowerBody;0.36075
body;0.619348
lowerLegLeft;0.341198
upperLegLeft;0.498665
upperLegRight;0.483635
lowerLegRight;0.464942
forearmLeft;0.289288
upperarmLeft;0.316187
shoulderHalfLeft;0.136456
neck;0.082899
shoulderHalfRight;0.18445
upperarmRight;0.264033
forearmRight;0.312389
shoulder;0.254673
upperBody;0.258646
hip;0.114583
lowerBody;0.360744
body;0.619352
lowerLegLeft;0.340105
upperLegLeft;0.498399
upperLegRight;0.483602
lowerLegRight;0.463654
forearmLeft;0.288885
upperarmLeft;0.316689
shoulderHalfLeft;0.136369
neck;0.0828773
shoulderHalfRight;0.184657
upperarmRight;0.264049
forearmRight;0.312415
shoulder;0.254642
upperBody;0.25859
hip;0.114554
lowerBody;0.360691
body;0.619243
lowerLegLeft;0.34016
upperLegLeft;0.498427
upperLegRight;0.483346
lowerLegRight;0.463925
forearmLeft;0.288849
upperarmLeft;0.317089
shoulderHalfLeft;0.136442
neck;0.0828604
shoulderHalfRight;0.184963
upperarmRight;0.26387
forearmRight;0.312455
shoulder;0.254914
upperBody;0.258546
hip;0.114539
lowerBody;0.360648
body;0.619156
lowerLegLeft;0.340479
upperLegLeft;0.498327
upperLegRight;0.483309
lowerLegRight;0.464121
forearmLeft;0.288683
upperarmLeft;0.317343
shoulderHalfLeft;0.136444
neck;0.0828506
shoulderHalfRight;0.185112
upperarmRight;0.263895
forearmRight;0.312559
shoulder;0.254851
upperBody;0.258527
hip;0.114534
lowerBody;0.360618
body;0.619108
lowerLegLeft;0.340449
upperLegLeft;0.498457
upperLegRight;0.483299
lowerLegRight;0.464169
forearmLeft;0.288937
upperarmLeft;0.316629
shoulderHalfLeft;0.135836
neck;0.0828506
shoulderHalfRight;0.185309
upperarmRight;0.264088
forearmRight;0.312261
shoulder;0.254972
upperBody;0.258522
hip;0.114597
lowerBody;0.360595
body;0.61908
lowerLegLeft;0.340537
upperLegLeft;0.49852
upperLegRight;0.483314
lowerLegRight;0.46428
forearmLeft;0.288785
upperarmLeft;0.31611
shoulderHalfLeft;0.135764
neck;0.082855
shoulderHalfRight;0.185463
upperarmRight;0.264168
forearmRight;0.312362
shoulder;0.255191
upperBody;0.258531
hip;0.114595
lowerBody;0.360595
body;0.61909
lowerLegLeft;0.339881
upperLegLeft;0.49857
upperLegRight;0.483349
lowerLegRight;0.46384
forearmLeft;0.288746
upperarmLeft;0.315897
shoulderHalfLeft;0.135857
neck;0.0828133
shoulderHalfRight;0.183981
upperarmRight;0.264162
forearmRight;0.312363
shoulder;0.255079
upperBody;0.258392
hip;0.11458
lowerBody;0.360492
body;0.618841
lowerLegLeft;0.338977
upperLegLeft;0.499486
upperLegRight;0.483301
lowerLegRight;0.463865
forearmLeft;0.288394
upperarmLeft;0.316491
shoulderHalfLeft;0.136078
neck;0.0828136
shoulderHalfRight;0.184289
upperarmRight;0.264128
forearmRight;0.312403
shoulder;0.255187
upperBody;0.258391
hip;0.114531
lowerBody;0.360466
body;0.618814
lowerLegLeft;0.338091
upperLegLeft;0.500315
upperLegRight;0.483397
lowerLegRight;0.463726
forearmLeft;0.288373
upperarmLeft;0.316998
shoulderHalfLeft;0.136239
neck;0.0828614
shoulderHalfRight;0.184695
upperarmRight;0.264196
forearmRight;0.312412
shoulder;0.25528
upperBody;0.258493
hip;0.114478
lowerBody;0.360517
body;0.618969
lowerLegLeft;0.337272
upperLegLeft;0.500701
upperLegRight;0.48352
lowerLegRight;0.463651
forearmLeft;0.28863
upperarmLeft;0.317716
shoulderHalfLeft;0.136327
neck;0.0829091
shoulderHalfRight;0.185414
upperarmRight;0.26469
forearmRight;0.311994
shoulder;0.2553
upperBody;0.25861
hip;0.114478
lowerBody;0.360573
body;0.619144
lowerLegLeft;0.339598
upperLegLeft;0.498852
upperLegRight;0.48351
lowerLegRight;0.464003
forearmLeft;0.28864
upperarmLeft;0.317518
shoulderHalfLeft;0.136198
neck;0.0829591
shoulderHalfRight;0.185779
upperarmRight;0.264719
forearmRight;0.311998
shoulder;0.255188
upperBody;0.258724
hip;0.114505
lowerBody;0.360627
body;0.619313
lowerLegLeft;0.339698
upperLegLeft;0.498901
upperLegRight;0.483481
lowerLegRight;0.46407
forearmLeft;0.288608
upperarmLeft;0.317766
shoulderHalfLeft;0.136562
neck;0.0829194
shoulderHalfRight;0.184726
upperarmRight;0.264843
forearmRight;0.311897
shoulder;0.255224
upperBody;0.258646
hip;0.114441
lowerBody;0.360578
body;0.619179
lowerLegLeft;0.340696
upperLegLeft;0.498355
upperLegRight;0.483496
lowerLegRight;0.464391
forearmLeft;0.288791
upperarmLeft;0.318164
shoulderHalfLeft;0.13695
neck;0.0828951
shoulderHalfRight;0.183711
upperarmRight;0.264885
forearmRight;0.311973
shoulder;0.255189
upperBody;0.258599
hip;0.114426
lowerBody;0.36054
body;0.619089
lowerLegLeft;0.340341
upperLegLeft;0.498889
upperLegRight;0.483563
lowerLegRight;0.464456
forearmLeft;0.288678
upperarmLeft;0.318474
shoulderHalfLeft;0.136753
neck;0.082909
shoulderHalfRight;0.184208
upperarmRight;0.264932
forearmRight;0.312134
shoulder;0.255056
upperBody;0.25861
hip;0.114438
lowerBody;0.360538
body;0.6191
lowerLegLeft;0.340445
upperLegLeft;0.498701
upperLegRight;0.483988
lowerLegRight;0.46406
forearmLeft;0.288875
upperarmLeft;0.318573
shoulderHalfLeft;0.136779
neck;0.0829554
shoulderHalfRight;0.184718
upperarmRight;0.264942
forearmRight;0.312225
shoulder;0.25511
upperBody;0.258705
hip;0.114438
lowerBody;0.360567
body;0.619227
lowerLegLeft;0.340231
upperLegLeft;0.498816
upperLegRight;0.48394
lowerLegRight;0.464005
forearmLeft;0.289479
upperarmLeft;0.317855
shoulderHalfLeft;0.136774
neck;0.0830109
shoulderHalfRight;0.184952
upperarmRight;0.265026
forearmRight;0.312167
shoulder;0.25529
upperBody;0.258828
hip;0.114464
lowerBody;0.360617
body;0.619401
lowerLegLeft;0.340151
upperLegLeft;0.498644
upperLegRight;0.483999
lowerLegRight;0.463756
forearmLeft;0.28939
upperarmLeft;0.318308
shoulderHalfLeft;0.136837
neck;0.0830466
shoulderHalfRight;0.185292
upperarmRight;0.265216
forearmRight;0.312189
shoulder;0.255356
upperBody;0.258914
hip;0.114474
lowerBody;0.360659
body;0.61953
lowerLegLeft;0.340232
upperLegLeft;0.498764
upperLegRight;0.484722
lowerLegRight;0.463434
forearmLeft;0.289021
upperarmLeft;0.317712
shoulderHalfLeft;0.13657
neck;0.0830474
shoulderHalfRight;0.185291
upperarmRight;0.265407
forearmRight;0.312162
shoulder;0.255415
upperBody;0.258924
hip;0.114516
lowerBody;0.360675
body;0.619556
lowerLegLeft;0.337295
upperLegLeft;0.501448
upperLegRight;0.484947
lowerLegRight;0.463227
forearmLeft;0.288863
upperarmLeft;0.31753
shoulderHalfLeft;0.136305
neck;0.0830604
shoulderHalfRight;0.185625
upperarmRight;0.265439
forearmRight;0.312207
shoulder;0.255393
upperBody;0.258952
hip;0.114457
lowerBody;0.360691
body;0.6196
lowerLegLeft;0.33743
upperLegLeft;0.501591
upperLegRight;0.484947
lowerLegRight;0.463573
forearmLeft;0.288859
upperarmLeft;0.318038
shoulderHalfLeft;0.136582
neck;0.0830735
shoulderHalfRight;0.185713
upperarmRight;0.265384
forearmRight;0.312181
shoulder;0.255375
upperBody;0.258992
hip;0.114477
lowerBody;0.360727
body;0.619677
lowerLegLeft;0.337946
upperLegLeft;0.500937
upperLegRight;0.484995
lowerLegRight;0.463416
forearmLeft;0.288844
upperarmLeft;0.317833
shoulderHalfLeft;0.136682
neck;0.0830324
shoulderHalfRight;0.184709
upperarmRight;0.265405
forearmRight;0.312027
shoulder;0.255339
upperBody;0.258901
hip;0.11448
lowerBody;0.360691
body;0.619545
lowerLegLeft;0.336566
upperLegLeft;0.501795
upperLegRight;0.484975
lowerLegRight;0.462854
forearmLeft;0.288693
upperarmLeft;0.317678
shoulderHalfLeft;0.136571
neck;0.0830798
shoulderHalfRight;0.185323
upperarmRight;0.265452
forearmRight;0.31231
shoulder;0.255269
upperBody;0.259017
hip;0.11448
lowerBody;0.360754
body;0.619725
lowerLegLeft;0.336883
upperLegLeft;0.501437
upperLegRight;0.484954
lowerLegRight;0.462781
forearmLeft;0.288573
upperarmLeft;0.317321
shoulderHalfLeft;0.13636
neck;0.0831275
shoulderHalfRight;0.18592
upperarmRight;0.265539
forearmRight;0.312466
shoulder;0.255398
upperBody;0.259144
hip;0.114486
lowerBody;0.360825
body;0.619924
lowerLegLeft;0.337584
upperLegLeft;0.500745
upperLegRight;0.484853
lowerLegRight;0.462851
forearmLeft;0.288726
upperarmLeft;0.317792
shoulderHalfLeft;0.136338
neck;0.0831341
shoulderHalfRight;0.186313
upperarmRight;0.265726
forearmRight;0.312795
shoulder;0.25537
upperBody;0.259182
hip;0.114495
lowerBody;0.360883
body;0.620021
lowerLegLeft;0.337385
upperLegLeft;0.500755
upperLegRight;0.48436
lowerLegRight;0.463057
forearmLeft;0.28885
upperarmLeft;0.317398
shoulderHalfLeft;0.136491
neck;0.0830527
shoulderHalfRight;0.184869
upperarmRight;0.265646
forearmRight;0.312958
shoulder;0.255436
upperBody;0.259019
hip;0.114453
lowerBody;0.360836
body;0.619803
lowerLegLeft;0.337648
upperLegLeft;0.500475
upperLegRight;0.484146
lowerLegRight;0.463228
forearmLeft;0.288822
upperarmLeft;0.31773
shoulderHalfLeft;0.136455
neck;0.0831098
shoulderHalfRight;0.185258
upperarmRight;0.265703
forearmRight;0.313078
shoulder;0.255254
upperBody;0.259142
hip;0.114457
lowerBody;0.360895
body;0.619987
lowerLegLeft;0.336443
upperLegLeft;0.500843
upperLegRight;0.483974
lowerLegRight;0.462564
forearmLeft;0.289148
upperarmLeft;0.318207
shoulderHalfLeft;0.136306
neck;0.0831636
shoulderHalfRight;0.185916
upperarmRight;0.265875
forearmRight;0.313493
shoulder;0.254738
upperBody;0.259288
hip;0.114389
lowerBody;0.361031
body;0.62027
lowerLegLeft;0.336333
upperLegLeft;0.500672
upperLegRight;0.483992
lowerLegRight;0.462408
forearmLeft;0.28889
upperarmLeft;0.318092
shoulderHalfLeft;0.136089
neck;0.0831431
shoulderHalfRight;0.185964
upperarmRight;0.265903
forearmRight;0.313152
shoulder;0.254741
upperBody;0.259238
hip;0.11442
lowerBody;0.360991
body;0.620179
lowerLegLeft;0.336788
upperLegLeft;0.500039
upperLegRight;0.483941
lowerLegRight;0.462335
forearmLeft;0.288989
upperarmLeft;0.318383
shoulderHalfLeft;0.136191
neck;0.0831576
shoulderHalfRight;0.186118
upperarmRight;0.265925
forearmRight;0.31293
shoulder;0.254615
upperBody;0.259282
hip;0.114438
lowerBody;0.361041
body;0.620274
lowerLegLeft;0.337113
upperLegLeft;0.49999
upperLegRight;0.483971
lowerLegRight;0.462581
forearmLeft;0.289203
upperarmLeft;0.317956
shoulderHalfLeft;0.135966
neck;0.0831993
shoulderHalfRight;0.186355
upperarmRight;0.265918
forearmRight;0.312855
shoulder;0.254697
upperBody;0.259386
hip;0.114449
lowerBody;0.361116
body;0.620453
lowerLegLeft;0.336994
upperLegLeft;0.500418
upperLegRight;0.483945
lowerLegRight;0.46285
forearmLeft;0.289282
upperarmLeft;0.317705
shoulderHalfLeft;0.135853
neck;0.0832325
shoulderHalfRight;0.186464
upperarmRight;0.266067
forearmRight;0.31213
shoulder;0.254861
upperBody;0.259478
hip;0.114443
lowerBody;0.361195
body;0.620625
lowerLegLeft;0.337165
upperLegLeft;0.50026
upperLegRight;0.483914
lowerLegRight;0.462844
forearmLeft;0.289511
upperarmLeft;0.318047
shoulderHalfLeft;0.136007
neck;0.0832587
shoulderHalfRight;0.186892
upperarmRight;0.266163
forearmRight;0.311606
shoulder;0.254752
upperBody;0.259565
hip;0.114417
lowerBody;0.3613
body;0.620818
lowerLegLeft;0.337349
upperLegLeft;0.500128
upperLegRight;0.483884
lowerLegRight;0.462908
forearmLeft;0.289698
upperarmLeft;0.31724
shoulderHalfLeft;0.135814
neck;0.0832612
shoulderHalfRight;0.187067
upperarmRight;0.266405
forearmRight;0.311049
shoulder;0.255021
upperBody;0.259581
hip;0.11445
lowerBody;0.361338
body;0.620872
lowerLegLeft;0.337379
upperLegLeft;0.500329
upperLegRight;0.483903
lowerLegRight;0.463115
forearmLeft;0.289951
upperarmLeft;0.317913
shoulderHalfLeft;0.135955
neck;0.0832864
shoulderHalfRight;0.187274
upperarmRight;0.266348
forearmRight;0.31111
shoulder;0.254888
upperBody;0.259654
hip;0.114461
lowerBody;0.361417
body;0.621026
lowerLegLeft;0.33737
upperLegLeft;0.500342
upperLegRight;0.483885
lowerLegRight;0.463098
forearmLeft;0.287124
upperarmLeft;0.317495
shoulderHalfLeft;0.136129
neck;0.0832855
shoulderHalfRight;0.187153
upperarmRight;0.266471
forearmRight;0.310966
shoulder;0.255068
upperBody;0.259652
hip;0.114488
lowerBody;0.36142
body;0.621026
lowerLegLeft;0.33752
upperLegLeft;0.500184
upperLegRight;0.483864
lowerLegRight;0.463127
forearmLeft;0.287183
upperarmLeft;0.317538
shoulderHalfLeft;0.13602
neck;0.083311
shoulderHalfRight;0.18724
upperarmRight;0.266424
forearmRight;0.310818
shoulder;0.254862
upperBody;0.259714
hip;0.114503
lowerBody;0.361457
body;0.621126
lowerLegLeft;0.337675
upperLegLeft;0.500027
upperLegRight;0.483898
lowerLegRight;0.463115
forearmLeft;0.28718
upperarmLeft;0.318188
shoulderHalfLeft;0.136209
neck;0.0833253
shoulderHalfRight;0.187303
upperarmRight;0.26645
forearmRight;0.310864
shoulder;0.254622
upperBody;0.259764
hip;0.114419
lowerBody;0.361538
body;0.621257
lowerLegLeft;0.338219
upperLegLeft;0.500079
upperLegRight;0.483985
lowerLegRight;0.463687
forearmLeft;0.287518
upperarmLeft;0.318665
shoulderHalfLeft;0.136235
neck;0.0833308
shoulderHalfRight;0.187275
upperarmRight;0.266325
forearmRight;0.310795
shoulder;0.25424
upperBody;0.259794
hip;0.11443
lowerBody;0.361613
body;0.621362
lowerLegLeft;0.33832
upperLegLeft;0.500085
upperLegRight;0.483995
lowerLegRight;0.463738
forearmLeft;0.287914
upperarmLeft;0.318388
shoulderHalfLeft;0.136214
neck;0.0833428
shoulderHalfRight;0.187368
upperarmRight;0.266317
forearmRight;0.3108
shoulder;0.254363
upperBody;0.259831
hip;0.114398
lowerBody;0.361661
body;0.621447
lowerLegLeft;0.351075
upperLegLeft;0.500352
upperLegRight;0.483986
lowerLegRight;0.475936
forearmLeft;0.288054
upperarmLeft;0.318142
shoulderHalfLeft;0.13615
neck;0.083354
shoulderHalfRight;0.187465
upperarmRight;0.266173
forearmRight;0.310858
shoulder;0.254397
upperBody;0.259864
hip;0.114409
lowerBody;0.361687
body;0.621505
lowerLegLeft;0.349357
upperLegLeft;0.500327
upperLegRight;0.483971
lowerLegRight;0.474314
forearmLeft;0.288283
upperarmLeft;0.318115
shoulderHalfLeft;0.136211
neck;0.0833735
shoulderHalfRight;0.187516
upperarmRight;0.266132
forearmRight;0.311022
shoulder;0.254315
upperBody;0.25992
hip;0.114444
lowerBody;0.361742
body;0.621618
lowerLegLeft;0.3484
upperLegLeft;0.500203
upperLegRight;0.483676
lowerLegRight;0.473638
forearmLeft;0.288479
upperarmLeft;0.317851
shoulderHalfLeft;0.136175
neck;0.0833778
shoulderHalfRight;0.187553
upperarmRight;0.26633
forearmRight;0.310712
shoulder;0.254465
upperBody;0.259933
hip;0.114441
lowerBody;0.361756
body;0.621644
lowerLegLeft;0.346622
upperLegLeft;0.500379
upperLegRight;0.483522
lowerLegRight;0.472093
forearmLeft;0.288447
upperarmLeft;0.318336
shoulderHalfLeft;0.136497
neck;0.0833956
shoulderHalfRight;0.187778
upperarmRight;0.266356
forearmRight;0.31061
shoulder;0.254502
upperBody;0.259989
hip;0.114438
lowerBody;0.361825
body;0.621771
lowerLegLeft;0.345006
upperLegLeft;0.500474
upperLegRight;0.483542
lowerLegRight;0.47073
forearmLeft;0.285278
upperarmLeft;0.318667
shoulderHalfLeft;0.136628
neck;0.0833992
shoulderHalfRight;0.187835
upperarmRight;0.266268
forearmRight;0.310568
