property;value
forearmLeft;0.306893
upperarmLeft;0.32351
shoulderHalfLeft;0.131621
neck;0.0834654
shoulderHalfRight;0.186629
upperarmRight;0.259807
forearmRight;0.306677
shoulder;0.251521
upperBody;0.26086
hip;0.110449
lowerBody;0.364909
body;0.625733
lowerLegLeft;0.368107
upperLegLeft;0.4768
upperLegRight;0.491333
lowerLegRight;0.443913
forearmLeft;0.306453
upperarmLeft;0.323662
shoulderHalfLeft;0.131515
neck;0.0834702
shoulderHalfRight;0.186738
upperarmRight;0.259863
forearmRight;0.31081
shoulder;0.251576
upperBody;0.260879
hip;0.110469
lowerBody;0.364928
body;0.625771
lowerLegLeft;0.368452
upperLegLeft;0.475687
upperLegRight;0.491296
lowerLegRight;0.443314
forearmLeft;0.306494
upperarmLeft;0.324052
shoulderHalfLeft;0.131197
neck;0.0834624
shoulderHalfRight;0.186683
upperarmRight;0.260048
forearmRight;0.313841
shoulder;0.251189
upperBody;0.260862
hip;0.110485
lowerBody;0.36491
body;0.625736
lowerLegLeft;0.367919
upperLegLeft;0.475403
upperLegRight;0.491327
lowerLegRight;0.442415
forearmLeft;0.306445
upperarmLeft;0.324355
shoulderHalfLeft;0.131137
neck;0.0834636
shoulderHalfRight;0.18674
upperarmRight;0.260134
forearmRight;0.316414
shoulder;0.251204
upperBody;0.260869
hip;0.110421
lowerBody;0.364911
body;0.625744
lowerLegLeft;0.364002
upperLegLeft;0.475408
upperLegRight;0.491248
lowerLegRight;0.439916
forearmLeft;0.30627
upperarmLeft;0.324468
shoulderHalfLeft;0.13111
neck;0.0834836
shoulderHalfRight;0.185636
upperarmRight;0.259462
forearmRight;0.308455
shoulder;0.248904
upperBody;0.260932
hip;0.110538
lowerBody;0.365037
body;0.625933
lowerLegLeft;0.36269
upperLegLeft;0.475815
upperLegRight;0.491104
lowerLegRight;0.439287
forearmLeft;0.306485
upperarmLeft;0.32419
shoulderHalfLeft;0.131165
neck;0.0835076
shoulderHalfRight;0.184895
upperarmRight;0.259137
forearmRight;0.305837
shoulder;0.247648
upperBody;0.260996
hip;0.110622
lowerBody;0.365117
body;0.626076
lowerLegLeft;0.404664
upperLegLeft;0.476517
upperLegRight;0.491194
lowerLegRight;0.477268
forearmLeft;0.306168
upperarmLeft;0.324405
shoulderHalfLeft;0.13122
neck;0.0835097
shoulderHalfRight;0.184842
upperarmRight;0.259351
forearmRight;0.312205
shoulder;0.248042
upperBody;0.261004
hip;0.110634
lowerBody;0.365109
body;0.626077
lowerLegLeft;0.364075
upperLegLeft;0.47658
upperLegRight;0.491061
lowerLegRight;0.438966
forearmLeft;0.30616
upperarmLeft;0.324797
shoulderHalfLeft;0.131211
neck;0.0835494
shoulderHalfRight;0.185678
upperarmRight;0.259644
forearmRight;0.313846
shoulder;0.249439
upperBody;0.261102
hip;0.110608
lowerBody;0.365155
body;0.62622
lowerLegLeft;0.406549
upperLegLeft;0.477287
upperLegRight;0.490881
lowerLegRight;0.479457
forearmLeft;0.305401
upperarmLeft;0.326041
shoulderHalfLeft;0.130912
neck;0.0835473
shoulderHalfRight;0.186658
upperarmRight;0.259396
forearmRight;0.315504
shoulder;0.25029
upperBody;0.261101
hip;0.110677
lowerBody;0.365131
body;0.626196
lowerLegLeft;0.406669
upperLegLeft;0.477324
upperLegRight;0.490224
lowerLegRight;0.47985
forearmLeft;0.305458
upperarmLeft;0.326194
shoulderHalfLeft;0.130857
neck;0.0835543
shoulderHalfRight;0.186871
upperarmRight;0.259153
forearmRight;0.308968
shoulder;0.250486
upperBody;0.261126
hip;0.110641
lowerBody;0.365154
body;0.626243
lowerLegLeft;0.405811
upperLegLeft;0.477988
upperLegRight;0.490047
lowerLegRight;0.479765
forearmLeft;0.305458
upperarmLeft;0.326828
shoulderHalfLeft;0.130471
neck;0.0835707
shoulderHalfRight;0.187228
upperarmRight;0.258911
forearmRight;0.312436
shoulder;0.250305
upperBody;0.261172
hip;0.110634
lowerBody;0.365177
body;0.626312
lowerLegLeft;0.406897
upperLegLeft;0.47708
upperLegRight;0.48996
lowerLegRight;0.479911
forearmLeft;0.305891
upperarmLeft;0.326954
shoulderHalfLeft;0.130229
neck;0.0835922
shoulderHalfRight;0.18793
upperarmRight;0.258441
forearmRight;0.302393
shoulder;0.250771
upperBody;0.261228
hip;0.110585
lowerBody;0.365202
body;0.626393
lowerLegLeft;0.365047
upperLegLeft;0.47691
upperLegRight;0.489714
lowerLegRight;0.441981
forearmLeft;0.304611
upperarmLeft;0.327992
shoulderHalfLeft;0.130098
neck;0.0835904
shoulderHalfRight;0.18811
upperarmRight;0.25816
forearmRight;0.301282
shoulder;0.250933
upperBody;0.261227
hip;0.110548
lowerBody;0.365196
body;0.626385
lowerLegLeft;0.40436
upperLegLeft;0.476844
upperLegRight;0.48967
lowerLegRight;0.477463
forearmLeft;0.304118
upperarmLeft;0.328714
shoulderHalfLeft;0.129899
neck;0.0835688
shoulderHalfRight;0.188444
upperarmRight;0.258209
forearmRight;0.308066
shoulder;0.251632
upperBody;0.261186
hip;0.110531
lowerBody;0.36516
body;0.626308
lowerLegLeft;0.414195
upperLegLeft;0.47692
upperLegRight;0.489731
lowerLegRight;0.49195
forearmLeft;0.304867
upperarmLeft;0.328796
shoulderHalfLeft;0.129147
neck;0.0834941
shoulderHalfRight;0.191256
upperarmRight;0.256922
forearmRight;0.311533
shoulder;0.252202
upperBody;0.261
hip;0.110603
lowerBody;0.365017
body;0.625977
lowerLegLeft;0.3592
upperLegLeft;0.476368
upperLegRight;0.489457
lowerLegRight;0.436572
forearmLeft;0.30476
upperarmLeft;0.328846
shoulderHalfLeft;0.128976
neck;0.0834723
shoulderHalfRight;0.192957
upperarmRight;0.256035
forearmRight;0.313557
shoulder;0.252799
upperBody;0.260945
hip;0.110877
lowerBody;0.36496
body;0.625866
lowerLegLeft;0.413884
upperLegLeft;0.477205
upperLegRight;0.489254
lowerLegRight;0.487059
forearmLeft;0.304846
upperarmLeft;0.328867
shoulderHalfLeft;0.128742
neck;0.0834651
shoulderHalfRight;0.193605
upperarmRight;0.255619
forearmRight;0.314224
shoulder;0.252742
upperBody;0.260917
hip;0.110931
lowerBody;0.364921
body;0.625797
lowerLegLeft;0.35614
upperLegLeft;0.478893
upperLegRight;0.489145
lowerLegRight;0.435551
forearmLeft;0.304806
upperarmLeft;0.328908
shoulderHalfLeft;0.128605
neck;0.0834443
shoulderHalfRight;0.193736
upperarmRight;0.255184
forearmRight;0.315164
shoulder;0.252105
upperBody;0.260854
hip;0.111357
lowerBody;0.364844
body;0.625657
lowerLegLeft;0.356886
upperLegLeft;0.47884
upperLegRight;0.489043
lowerLegRight;0.435957
forearmLeft;0.304839
upperarmLeft;0.328914
shoulderHalfLeft;0.128534
neck;0.0834356
shoulderHalfRight;0.194291
upperarmRight;0.255187
forearmRight;0.316115
shoulder;0.252396
upperBody;0.260825
hip;0.111491
lowerBody;0.364789
body;0.625574
lowerLegLeft;0.406434
upperLegLeft;0.480151
upperLegRight;0.488969
lowerLegRight;0.482584
forearmLeft;0.30485
